throughput (msg/sec),average latency (ns/msg),trace,host
2763.6351,361846.8027,true,bbc29
1199.2708,571096.7318,true,bbc29
1824.4171,496277.6495,true,bbc29
1180.5093,623328.3054,true,bbc29
1157.8982,628976.6063,true,bbc29
1444.6570,594648.6820,true,bbc29
1242.5733,650210.0742,true,bbc29
1184.1688,664530.0844,true,bbc29
1303.9404,633673.7581,true,bbc29
1263.6742,645206.2178,true,bbc29
1476.5110,588707.6212,false,bbc29
1592.1256,563809.5383,false,bbc29
1563.0148,569606.6882,false,bbc29
1738.3027,522947.1631,false,bbc29
1544.0809,568465.7673,false,bbc29
1786.1502,507141.0173,false,bbc29
1934.0069,484378.0851,false,bbc29
1514.7399,585504.7965,false,bbc29
1459.4901,598014.5554,false,bbc29
1536.1148,579460.4570,false,bbc29
10059.5592,99408.9703,true,lagoon
10126.5202,98750.9454,true,lagoon
10170.8080,98320.9434,true,lagoon
10132.2054,98694.2542,true,lagoon
10135.3231,98664.2074,true,lagoon
10148.7863,98533.6713,true,lagoon
10155.6295,98467.6360,true,lagoon
10140.3908,98615.4326,true,lagoon
10140.8175,98611.4928,true,lagoon
10131.1421,98704.2705,true,lagoon
11408.3772,87655.1544,false,lagoon
11452.6910,87315.9899,false,lagoon
11425.9589,87521.5052,false,lagoon
11359.6907,88030.5243,false,lagoon
11435.7121,87446.3784,false,lagoon
11422.3337,87546.2443,false,lagoon
11402.3827,87698.8687,false,lagoon
11418.2752,87578.8690,false,lagoon
11408.1971,87658.0333,false,lagoon
11445.0488,87375.4374,false,lagoon
