host,role,clients,accesses,seconds,throughput (accesses/sec),local,remote
hyperion,client,1,30201,29.567304358,1021.4323,1,0
hyperion,client,1,30222,29.573448387,1021.9302,1,0
hyperion,client,1,30142,29.569384648,1019.3651,1,0
hyperion,client,1,30106,29.568832077,1018.1667,1,0
hyperion,client,1,30168,29.571718136,1020.1639,1,0
hyperion,client,2,33668,29.585464156,1137.9913,1,1
hyperion,client,2,33814,29.568819154,1143.5695,1,1
hyperion,client,2,33693,29.575681919,1139.213,1,1
hyperion,client,2,33839,29.574190671,1144.2071,1,1
hyperion,client,2,33673,29.58242625,1138.2772,1,1
hyperion,client,3,32472,29.534115756,1099.4743,2,1
hyperion,client,3,32449,29.532963305,1098.7384,2,1
hyperion,client,3,32480,29.529306289,1099.9242,2,1
hyperion,client,3,32499,29.53257479,1100.4459,2,1
hyperion,client,3,32558,29.531084672,1102.4993,2,1
hyperion,client,3,32559,29.532255154,1102.4895,2,1
hyperion,client,3,32341,29.53638736,1094.9545,2,1
hyperion,client,3,32362,29.535404182,1095.702,2,1
hyperion,client,3,32201,29.539794031,1090.0888,2,1
hyperion,client,3,32207,29.539961291,1090.2858,2,1
hyperion,client,3,34516,29.570786358,1167.2331,1,2
hyperion,client,3,34806,29.569065925,1177.1085,1,2
hyperion,client,3,34728,29.566174594,1174.5855,1,2
hyperion,client,3,34706,29.560938919,1174.0493,1,2
hyperion,client,3,35045,29.560671745,1185.5279,1,2
hyperion,client,4,33417,29.520623518,1131.9883,2,2
hyperion,client,4,33421,29.522624321,1132.0471,2,2
hyperion,client,4,33032,29.526583581,1118.7207,2,2
hyperion,client,4,33037,29.524980544,1118.9508,2,2
hyperion,client,4,33321,29.522914746,1128.6487,2,2
hyperion,client,4,33329,29.520658154,1129.006,2,2
hyperion,client,4,33435,29.51607826,1132.7724,2,2
hyperion,client,4,33439,29.520394416,1132.7423,2,2
hyperion,client,4,33331,29.524432586,1128.9294,2,2
hyperion,client,4,33311,29.523691176,1128.2803,2,2
hyperion,client,5,33623,29.510045025,1139.3747,3,2
hyperion,client,5,33641,29.513535463,1139.8499,3,2
hyperion,client,5,33624,29.511282592,1139.3608,3,2
hyperion,client,5,33607,29.505888494,1138.993,3,2
hyperion,client,5,33604,29.507872632,1138.8147,3,2
hyperion,client,5,33624,29.506430509,1139.5482,3,2
hyperion,client,5,33465,29.514292694,1133.8574,3,2
hyperion,client,5,33467,29.512493103,1133.9943,3,2
hyperion,client,5,33462,29.515652357,1133.7036,3,2
hyperion,client,5,33493,29.511139348,1134.9274,3,2
hyperion,client,5,33502,29.515111044,1135.0796,3,2
hyperion,client,5,33495,29.5162813,1134.7974,3,2
hyperion,client,5,33581,29.50979118,1137.9613,3,2
hyperion,client,5,33582,29.510754191,1137.958,3,2
hyperion,client,5,33577,29.510796757,1137.787,3,2
hyperion,client,5,33955,29.510503732,1150.6073,2,3
hyperion,client,5,33973,29.509280278,1151.2649,2,3
hyperion,client,5,34033,29.505435866,1153.4485,2,3
hyperion,client,5,34057,29.509313746,1154.1102,2,3
hyperion,client,5,34014,29.512561741,1152.5262,2,3
hyperion,client,5,34020,29.50854589,1152.8864,2,3
hyperion,client,5,34327,29.505083025,1163.4267,2,3
hyperion,client,5,34347,29.505995403,1164.0685,2,3
hyperion,client,5,33763,29.51413217,1143.9605,2,3
hyperion,client,5,33749,29.516767451,1143.384,2,3
hyperion,client,6,33779,29.506807826,1144.7867,3,3
hyperion,client,6,33767,29.508756412,1144.3044,3,3
hyperion,client,6,33773,29.508677508,1144.5108,3,3
hyperion,client,6,33917,29.505787738,1149.5033,3,3
hyperion,client,6,33889,29.505094127,1148.5813,3,3
hyperion,client,6,33906,29.50213997,1149.2726,3,3
hyperion,client,6,33964,29.505130664,1151.1218,3,3
