host,role,clients,consistency,accesses,seconds,throughput (accesses/sec),hyperion,lagoon
nevis,server,1,linearizable,48088,29.99821114,1603.0289,0,1
nevis,server,1,linearizable,48667,29.998379888,1622.3209,0,1
nevis,server,1,linearizable,48341,29.998858031,1611.428,0,1
nevis,server,1,linearizable,47406,29.998119744,1580.299,0,1
nevis,server,1,linearizable,46924,29.998763985,1564.1978,0,1
nevis,server,1,linearizable,30201,29.99889616,1006.737,1,0
nevis,server,1,linearizable,30222,29.998272641,1007.458,1,0
nevis,server,1,linearizable,30142,29.998904676,1004.77,1,0
nevis,server,1,linearizable,30106,29.999050775,1003.5651,1,0
nevis,server,1,linearizable,30168,29.9989007,1005.6368,1,0
nevis,server,2,linearizable,84305,30.001134338,2810.0604,1,1
nevis,server,2,linearizable,84232,30.001403055,2807.602,1,1
nevis,server,2,linearizable,84274,30.000174075,2809.117,1,1
nevis,server,2,linearizable,83881,30.003521401,2795.7052,1,1
nevis,server,2,linearizable,84562,30.007007986,2818.075,1,1
nevis,server,3,linearizable,115857,30.004014658,3861.3833,2,1
nevis,server,3,linearizable,115981,30.00697541,3865.1346,2,1
nevis,server,3,linearizable,115859,30.004774592,3861.3521,2,1
nevis,server,3,linearizable,116242,30.005141161,3874.0694,2,1
nevis,server,3,linearizable,116318,30.003083865,3876.8681,2,1
nevis,server,3,linearizable,140473,30.003848036,4681.8328,1,2
nevis,server,3,linearizable,141450,30.00473804,4714.2555,1,2
nevis,server,3,linearizable,141006,30.002586099,4699.7949,1,2
nevis,server,3,linearizable,141246,30.004392096,4707.5108,1,2
nevis,server,3,linearizable,142272,30.00488977,4741.6272,1,2
nevis,server,4,linearizable,174360,30.00599985,5810.8379,2,2
nevis,server,4,linearizable,172918,30.005125262,5762.9488,2,2
nevis,server,4,linearizable,174010,30.005535641,5799.2632,2,2
nevis,server,4,linearizable,174737,30.007215837,5823.166,2,2
nevis,server,4,linearizable,174222,30.005085729,5806.4157,2,2
nevis,server,5,linearizable,208993,30.004693366,6965.3436,3,2
nevis,server,5,linearizable,208912,30.000327237,6963.6574,3,2
nevis,server,5,linearizable,208600,30.006114114,6951.9165,3,2
nevis,server,5,linearizable,208498,30.002421927,6949.3723,3,2
nevis,server,5,linearizable,208909,30.004196303,6962.6594,3,2
nevis,server,5,linearizable,232000,30.010620978,7730.5965,2,3
nevis,server,5,linearizable,232234,30.004554944,7739.9582,2,3
nevis,server,5,linearizable,232053,30.005908049,7733.577,2,3
nevis,server,5,linearizable,233671,30.005263876,7787.6669,2,3
nevis,server,5,linearizable,230972,30.000886046,7698.8393,2,3
